Year,Country,Life_Expectancy,Region,Income_Group,Alcohol,BMI,HIV_AIDS,Measles,Schooling,Healthcare_Expenditure
2003,Cyprus,78.5,Europe & Central Asia,High income,10.62,54.3,0.1,0,13,158.7087399
2000,Cyprus,78.1,Europe & Central Asia,High income,9.56,52.8,0.1,0,12.5,950.8027925
2002,Cyprus,78.4,Europe & Central Asia,High income,11.68,53.8,0.1,0,12.5,1128.050886
2001,Cyprus,78.2,Europe & Central Asia,High income,10.16,53.3,0.1,0,12.4,100.8086193
2014,Denmark,84,Europe & Central Asia,High income,9.64,58.4,0.1,27,19.2,10468.76292
2013,Denmark,81,Europe & Central Asia,High income,9.5,58.1,0.1,17,18.7,10261.763
2012,Denmark,80,Europe & Central Asia,High income,9.26,57.7,0.1,2,18.4,928.4170785
2011,Denmark,79.7,Europe & Central Asia,High income,10.47,57.4,0.1,84,16.9,10251.10872
2006,Denmark,78.1,Europe & Central Asia,High income,11.02,55.4,0.1,27,16.9,850.9544783
2009,Denmark,78.9,Europe & Central Asia,High income,10.08,56.6,0.1,6,16.8,9765.616994
2010,Denmark,79.2,Europe & Central Asia,High income,10.28,57,0.1,5,16.8,954.4865933
2008,Denmark,78.8,Europe & Central Asia,High income,10.7,56.3,0.1,14,16.8,10761.18209
2007,Denmark,78.4,Europe & Central Asia,High income,10.99,55.9,0.1,2,16.7,9703.068121
2005,Denmark,78.1,Europe & Central Asia,High income,11.28,55,0.1,2,16.6,7627.412444
2002,Denmark,77,Europe & Central Asia,High income,11.34,53.3,0.1,32,16.6,4801.546125
2004,Denmark,77.7,Europe & Central Asia,High income,11.27,54.4,0.1,0,16.5,6948.839868
2000,Denmark,76.9,Europe & Central Asia,High income,11.69,52.2,0.1,14,16.5,508.7496912
2003,Denmark,77.3,Europe & Central Asia,High income,11.54,53.9,0.1,0,16.3,650.9813544
2001,Denmark,77,Europe & Central Asia,High income,11.56,52.8,0.1,11,16.2,530.4832336
2014,Djibouti,63,Middle East & North Africa,Lower middle income,0.38,34.4,2.1,0,6.3,24.73299655
2012,Djibouti,62.2,Middle East & North Africa,Lower middle income,0.52,33.2,1.9,709,6.3,217.2125786
2013,Djibouti,62.7,Middle East & North Africa,Lower middle income,0.53,33.8,2.1,28,6.3,229.4410095
2011,Djibouti,61.8,Middle East & North Africa,Lower middle income,0.39,32.7,2.7,49,5.9,20.35974738
2010,Djibouti,61.3,Middle East & North Africa,Lower middle income,0.44,32.2,3.1,7,5.5,187.4960097
2009,Djibouti,69,Middle East & North Africa,Lower middle income,0.49,31.7,3.2,48,5.3,177.2671607
2008,Djibouti,62,Middle East & North Africa,Lower middle income,0.49,31.3,3.3,143,5,171.7686449
2007,Djibouti,59.8,Middle East & North Africa,Lower middle income,0.45,3.9,3.5,24,4.5,20.86878709
2006,Djibouti,59.1,Middle East & North Africa,Lower middle income,1.02,3.6,3.7,49,4.3,121.4812077
2005,Djibouti,58.6,Middle East & North Africa,Lower middle income,1.23,3.2,3.9,298,4,12.70325933
2004,Djibouti,58.1,Middle East & North Africa,Lower middle income,1.18,29.8,4,71,3.7,106.0354659
2003,Djibouti,58,Middle East & North Africa,Lower middle income,1.02,29.4,4.2,37,3.5,94.13302875
2002,Djibouti,57.9,Middle East & North Africa,Lower middle income,1.03,29,4.3,50,3.3,13.46662004
2001,Djibouti,57.7,Middle East & North Africa,Lower middle income,0.95,28.6,4.3,79,2.9,92.4978948
2000,Djibouti,57.4,Middle East & North Africa,Lower middle income,1.34,28.2,4.1,183,2.9,91.95075901
2014,DominicanRepublic,73.6,Latin America & Caribbean,Upper middle income,5.92,57.9,0.3,0,13.2,1088.244952
2013,DominicanRepublic,73.4,Latin America & Caribbean,Upper middle income,5.93,56.8,0.3,0,13.2,97.52211538
2012,DominicanRepublic,72.1,Latin America & Caribbean,Upper middle income,5.93,55.8,0.4,0,13.1,857.1307037
2011,DominicanRepublic,73.1,Latin America & Caribbean,Upper middle income,5.91,54.7,0.7,2,13,843.7876995
2010,DominicanRepublic,72.7,Latin America & Caribbean,Upper middle income,6.02,53.6,0.9,0,12.9,664.5585242
2009,DominicanRepublic,73.6,Latin America & Caribbean,Upper middle income,6.05,52.6,1.2,0,12.9,587.8828228
2008,DominicanRepublic,73.3,Latin America & Caribbean,Upper middle income,6.12,51.5,1.4,0,12.8,49.09241952
2007,DominicanRepublic,72.9,Latin America & Caribbean,Upper middle income,6.05,5.4,1.6,0,12.7,74.8217488
2005,DominicanRepublic,69.7,Latin America & Caribbean,Upper middle income,5.71,48.2,2,0,12.6,289.7418649
2006,DominicanRepublic,72.3,Latin America & Caribbean,Upper middle income,6.2,49.3,1.8,0,12.6,352.9551269
2004,DominicanRepublic,69.3,Latin America & Caribbean,Upper middle income,5.16,47.2,2.1,0,12.5,182.6162515
2003,DominicanRepublic,73,Latin America & Caribbean,Upper middle income,6.32,46.1,2.3,0,12.4,293.0196601
2001,DominicanRepublic,71.2,Latin America & Caribbean,Upper middle income,6.13,44.1,2.5,113,12.3,340.0239945
2002,DominicanRepublic,71.4,Latin America & Caribbean,Upper middle income,6.43,45.1,2.4,0,12.3,4.67359227
2000,DominicanRepublic,72,Latin America & Caribbean,Upper middle income,6.58,43.1,2.5,253,12.2,44.79247812
2014,Ecuador,76,Latin America & Caribbean,Upper middle income,3.82,53.5,0.1,0,14,79.11626341
2013,Ecuador,76,Latin America & Caribbean,Upper middle income,3.77,52.8,0.1,0,13.4,59.12850204
2012,Ecuador,75.5,Latin America & Caribbean,Upper middle income,3.92,52.1,0.1,72,13.3,41.88087712
2011,Ecuador,75.3,Latin America & Caribbean,Upper middle income,3.99,51.4,0.1,257,13.2,344.7412164
2009,Ecuador,75.1,Latin America & Caribbean,Upper middle income,3.87,5,0.1,0,13.1,282.1440066
2010,Ecuador,75,Latin America & Caribbean,Upper middle income,3.95,5.7,0.1,0,13.1,367.9285652
2008,Ecuador,74.6,Latin America & Caribbean,Upper middle income,3.76,49.3,0.1,1,13,197.9303077
2007,Ecuador,74.7,Latin America & Caribbean,Upper middle income,3.63,48.6,0.2,0,12.9,19.60467787
2006,Ecuador,74.4,Latin America & Caribbean,Upper middle income,3.52,47.9,0.3,0,12.8,19.13983284
2005,Ecuador,74.2,Latin America & Caribbean,Upper middle income,3.54,47.2,0.3,0,12.8,18.09317114
2004,Ecuador,74.4,Latin America & Caribbean,Upper middle income,3.65,46.5,0.3,0,12.7,16.37920405
2003,Ecuador,74.4,Latin America & Caribbean,Upper middle income,3.69,45.8,0.3,0,12.6,18.26183281
2002,Ecuador,73.6,Latin America & Caribbean,Upper middle income,3.88,45.1,0.3,0,12.5,187.3843511
2000,Ecuador,72.8,Latin America & Caribbean,Upper middle income,3.99,43.6,0.3,0,12.4,84.17527008
2001,Ecuador,73.4,Latin America & Caribbean,Upper middle income,4.13,44.3,0.3,2,12.4,14.5887403
2014,Egypt,78,Middle East & North Africa,Lower middle income,0.21,6.2,0.1,1314,13.1,0
2013,Egypt,79,Middle East & North Africa,Lower middle income,0.21,59.4,0.1,405,12.8,0
2011,Egypt,74,Middle East & North Africa,Lower middle income,0.22,57.8,0.1,26,12.4,0
2012,Egypt,72,Middle East & North Africa,Lower middle income,0.23,58.6,0.1,245,12.4,0
2010,Egypt,70,Middle East & North Africa,Lower middle income,0.22,57,0.1,16,12.2,0
2009,Egypt,69.9,Middle East & North Africa,Lower middle income,0.21,56.2,0.1,608,12,0
2008,Egypt,69.8,Middle East & North Africa,Lower middle income,0.24,55.5,0.1,668,11.9,0
2007,Egypt,69.7,Middle East & North Africa,Lower middle income,0.21,54.8,0.1,1684,11.7,0
2006,Egypt,69.5,Middle East & North Africa,Lower middle income,0.18,54.2,0.1,953,11.5,0
2005,Egypt,69.4,Middle East & North Africa,Lower middle income,0.16,53.5,0.1,77,11.4,0
2003,Egypt,68.6,Middle East & North Africa,Lower middle income,0.15,52.3,0.1,164,11.3,0
2002,Egypt,68.7,Middle East & North Africa,Lower middle income,0.15,51.8,0.1,653,11.2,0
2004,Egypt,69,Middle East & North Africa,Lower middle income,0.16,52.9,0.1,80,11.2,0
2001,Egypt,68.6,Middle East & North Africa,Lower middle income,0.14,51.2,0.1,2150,11.1,0
2000,Egypt,68.8,Middle East & North Africa,Lower middle income,0.14,5.7,0.1,2633,11,0
2008,ElSalvador,71.7,Latin America & Caribbean,Lower middle income,2.68,51.4,0.3,0,13.4,53.95949877
2013,ElSalvador,73,Latin America & Caribbean,Lower middle income,2.42,54.7,0.2,0,13.2,653.6925016
2012,ElSalvador,73,Latin America & Caribbean,Lower middle income,2.48,54.1,0.3,0,13.2,591.7757569
2014,ElSalvador,73.3,Latin America & Caribbean,Lower middle income,2.52,55.4,0.2,0,13.2,665.7260253
2011,ElSalvador,72,Latin America & Caribbean,Lower middle income,2.37,53.4,0.3,0,13,549.2783081
2010,ElSalvador,72,Latin America & Caribbean,Lower middle income,2.36,52.8,0.3,0,12.9,469.3904193
2006,ElSalvador,75,Latin America & Caribbean,Lower middle income,2.77,5.1,0.2,0,12.9,57.74562629
2007,ElSalvador,71.2,Latin America & Caribbean,Lower middle income,2.83,5.8,0.3,0,12.9,52.30172215
2009,ElSalvador,71.4,Latin America & Caribbean,Lower middle income,2.55,52.1,0.3,0,12.8,416.4338399
2005,ElSalvador,71,Latin America & Caribbean,Lower middle income,2.77,49.4,0.2,0,12.7,440.6027042
2004,ElSalvador,70,Latin America & Caribbean,Lower middle income,2.9,48.6,0.3,0,12.4,398.6058322
2003,ElSalvador,69.9,Latin America & Caribbean,Lower middle income,3.1,47.8,0.3,0,12,400.1342971
2002,ElSalvador,73,Latin America & Caribbean,Lower middle income,2.97,47,0.4,0,11.8,29.68529375
2001,ElSalvador,68.9,Latin America & Caribbean,Lower middle income,2.88,46.2,0.4,2,11.6,332.1056586
2000,ElSalvador,69,Latin America & Caribbean,Lower middle income,2.79,45.3,0.4,0,11.3,353.6690328
2014,EquatorialGuinea,57.9,Sub-Saharan Africa,Upper middle income,0.01,24,4.4,13,9.2,13.40477417
2010,EquatorialGuinea,56.1,Sub-Saharan Africa,Upper middle income,9.93,22.1,7.2,0,9.2,1192.696619
2013,EquatorialGuinea,57.4,Sub-Saharan Africa,Upper middle income,10.72,23.5,5.7,321,9.2,156.3907685
2011,EquatorialGuinea,56.2,Sub-Saharan Africa,Upper middle income,10.99,22.6,7.7,0,9.2,1493.051277
2012,EquatorialGuinea,56.7,Sub-Saharan Africa,Upper middle income,11.89,23,8.2,1190,9.2,1500.412635
2009,EquatorialGuinea,55.7,Sub-Saharan Africa,Upper middle income,7.97,21.7,7.3,78,9.1,115.0692415
2008,EquatorialGuinea,55.4,Sub-Saharan Africa,Upper middle income,8.34,21.3,6.3,436,9.1,1705.678619
2007,EquatorialGuinea,55,Sub-Saharan Africa,Upper middle income,6.86,2.9,5.9,5,9,1024.519543
2006,EquatorialGuinea,54.8,Sub-Saharan Africa,Upper middle income,7.28,2.5,5.3,0,9,827.5979335
2005,EquatorialGuinea,54.4,Sub-Saharan Africa,Upper middle income,7.19,2.2,4.9,0,8.7,12.0661671
2004,EquatorialGuinea,54.1,Sub-Saharan Africa,Upper middle income,6.28,19.8,4.4,38,8.5,44.54768305
2003,EquatorialGuinea,53.8,Sub-Saharan Africa,Upper middle income,7.13,19.5,3.6,18,8.4,309.7834587
2002,EquatorialGuinea,53.5,Sub-Saharan Africa,Upper middle income,6.01,19.1,2.9,24,8.2,234.7874207
2001,EquatorialGuinea,53.1,Sub-Saharan Africa,Upper middle income,5.07,18.7,2.3,1339,8,197.7839552
2000,EquatorialGuinea,52.7,Sub-Saharan Africa,Upper middle income,4.46,18.3,1.9,0,0,14.95451321
2005,Eritrea,59.4,Sub-Saharan Africa,Low income,1.07,13.9,1.6,19,5.4,5.064688968
2006,Eritrea,59.7,Sub-Saharan Africa,Low income,0.97,14.3,1.4,128,5.3,10.60269773
2007,Eritrea,62,Sub-Saharan Africa,Low income,1.23,14.7,1.3,55,5.3,11.42385961
2008,Eritrea,67,Sub-Saharan Africa,Low income,0.49,15.1,1.1,0,5.2,11.76572311
2009,Eritrea,61.4,Sub-Saharan Africa,Low income,0.63,15.5,1,82,5.2,1.575160196
2010,Eritrea,62.1,Sub-Saharan Africa,Low income,0.61,16,0.9,51,5.1,17.35739784
2014,Eritrea,64.4,Sub-Saharan Africa,Low income,0.01,18,0.4,127,5,0
2013,Eritrea,64,Sub-Saharan Africa,Low income,0.01,17.5,0.5,45,5,0
2012,Eritrea,63.6,Sub-Saharan Africa,Low income,0.01,17,0.6,194,5,0
2011,Eritrea,62.9,Sub-Saharan Africa,Low income,0.62,16.5,0.7,48,5,20.97991915
2004,Eritrea,59.1,Sub-Saharan Africa,Low income,0.64,13.6,1.8,24,5,10.26097341
2003,Eritrea,58.8,Sub-Saharan Africa,Low income,0.56,13.3,1.9,376,4.7,6.913998013
2002,Eritrea,58.5,Sub-Saharan Africa,Low income,0.83,13.1,1.9,460,4.4,0.703132179
2001,Eritrea,58.1,Sub-Saharan Africa,Low income,0.61,12.8,2,204,4.3,5.593619538
2000,Eritrea,45.3,Sub-Saharan Africa,Low income,0.83,12.6,1.9,789,3.9,0.735940361
2014,Estonia,77.3,Europe & Central Asia,High income,0.01,59.4,0.1,0,16.5,2700.07305
2013,Estonia,76.9,Europe & Central Asia,High income,0.01,59,0.1,2,16.5,261.2914808
2012,Estonia,76.3,Europe & Central Asia,High income,0.01,58.5,0.1,4,16.5,2263.103797
2011,Estonia,76.1,Europe & Central Asia,High income,0.01,58,0.1,7,16.4,2146.945741
2010,Estonia,75.6,Europe & Central Asia,High income,14.97,57.6,0.1,0,16.2,1802.017593
2009,Estonia,74.9,Europe & Central Asia,High income,15.04,57.1,0.1,0,16.1,1717.088711
2006,Estonia,73,Europe & Central Asia,High income,16.58,55.9,0.1,27,16.1,244.3510801
2008,Estonia,74.2,Europe & Central Asia,High income,16.99,56.7,0.1,0,16.1,225.0723618
2007,Estonia,73,Europe & Central Asia,High income,17.87,56.3,0.1,1,16.1,1904.12469
2005,Estonia,72.8,Europe & Central Asia,High income,15.52,55.5,0.1,2,15.9,153.5045263
2004,Estonia,72.3,Europe & Central Asia,High income,15.07,55.2,0.1,0,15.7,101.1201161
2003,Estonia,71.9,Europe & Central Asia,High income,11.64,54.9,0.1,0,15.6,132.7233922
2002,Estonia,71.2,Europe & Central Asia,High income,11.48,54.6,0.1,0,15.4,7.806042825
2001,Estonia,78,Europe & Central Asia,High income,0.01,54.3,0.1,0,15,88.62945822
2000,Estonia,78,Europe & Central Asia,High income,0.01,54,0.1,9,14.4,5.34809451
2014,Eswatini,58.4,Sub-Saharan Africa,Lower middle income,0.01,31.8,7.3,0,11.4,574.3895102
2013,Eswatini,57.6,Sub-Saharan Africa,Lower middle income,0.01,31.2,9.8,0,11.4,708.9556648
2012,Eswatini,56.5,Sub-Saharan Africa,Lower middle income,0.01,3.7,12.2,0,11.3,720.2333929
2011,Eswatini,55,Sub-Saharan Africa,Lower middle income,5.2,3.2,15.7,0,11.2,735.7090978
2010,Eswatini,53.6,Sub-Saharan Africa,Lower middle income,4.93,29.7,21.6,313,11,56.93670561
2009,Eswatini,52.6,Sub-Saharan Africa,Lower middle income,4.9,29.3,33.7,26,10.8,47.6164523
2008,Eswatini,51.4,Sub-Saharan Africa,Lower middle income,4.87,28.9,40.2,1,10.6,413.0063027
2007,Eswatini,50,Sub-Saharan Africa,Lower middle income,5.55,28.5,40.7,0,10.5,43.3664999
2006,Eswatini,47.8,Sub-Saharan Africa,Lower middle income,5.53,28.2,43.7,0,9.9,437.0802438
2005,Eswatini,46,Sub-Saharan Africa,Lower middle income,5.08,27.8,49.1,0,9.7,372.1651473
2004,Eswatini,45.6,Sub-Saharan Africa,Lower middle income,5.78,27.4,50.3,0,9.4,37.43857664
2000,Eswatini,48.4,Sub-Saharan Africa,Lower middle income,7.19,25.9,46.4,10,9.4,25.21683318
2001,Eswatini,47.1,Sub-Saharan Africa,Lower middle income,6.72,26.3,48.8,49,9.3,143.6197316
2002,Eswatini,46.4,Sub-Saharan Africa,Lower middle income,5.52,26.7,49.9,37,9.2,131.0421269
2003,Eswatini,45.9,Sub-Saharan Africa,Lower middle income,5.65,27.1,50.6,350,9.1,2.819124474
2014,Ethiopia,64.2,Sub-Saharan Africa,Low income,0.01,17.2,0.6,12739,8.4,89.95805845
2012,Ethiopia,63.3,Sub-Saharan Africa,Low income,1.84,16.4,1.2,4347,8.4,86.82551124
2013,Ethiopia,63.7,Sub-Saharan Africa,Low income,1.86,16.8,0.9,5253,8.4,8.313282039
2011,Ethiopia,62.6,Sub-Saharan Africa,Low income,1.32,16,1.4,3255,8.2,67.77565369
2009,Ethiopia,68,Sub-Saharan Africa,Low income,1.17,15.3,2,1176,8.1,53.77354001
2010,Ethiopia,61.8,Sub-Saharan Africa,Low income,1.34,15.6,1.7,4235,8.1,67.73374413
2008,Ethiopia,59.8,Sub-Saharan Africa,Low income,1.13,14.9,2.4,3511,7.6,38.55783268
2007,Ethiopia,58.5,Sub-Saharan Africa,Low income,1.06,14.5,2.8,1446,7.1,30.46451811
2006,Ethiopia,57.2,Sub-Saharan Africa,Low income,1.22,14.2,3.3,1451,6.6,22.18952246
2005,Ethiopia,56,Sub-Saharan Africa,Low income,0.99,13.8,3.7,357,5.8,18.03753133
2004,Ethiopia,55,Sub-Saharan Africa,Low income,0.86,13.5,4.1,73,5.4,1.506962482
2003,Ethiopia,54,Sub-Saharan Africa,Low income,0.79,13.2,4.4,228,5.2,10.97201912
2002,Ethiopia,53.2,Sub-Saharan Africa,Low income,0.8,12.9,4.6,3332,4.9,10.82452594
2001,Ethiopia,52.5,Sub-Saharan Africa,Low income,0.85,12.6,4.9,2366,4.3,1.186227577
2000,Ethiopia,51.2,Sub-Saharan Africa,Low income,0.88,12.3,5,1660,3.9,11.59481766
2014,Fiji,69.7,East Asia & Pacific,Upper middle income,0.01,61.9,0.1,0,15.2,50.539484
2013,Fiji,69.6,East Asia & Pacific,Upper middle income,0.01,61.1,0.1,0,15,460.6487805
2012,Fiji,69.4,East Asia & Pacific,Upper middle income,0.01,6.2,0.1,0,14.9,431.4854874
2011,Fiji,69.2,East Asia & Pacific,Upper middle income,0.01,59.5,0.1,0,14.7,401.7931045
2010,Fiji,69.1,East Asia & Pacific,Upper middle income,2.25,58.7,0.1,0,14.6,62.08343533
2009,Fiji,68.9,East Asia & Pacific,Upper middle income,2.31,58,0.1,1,14.5,60.65068446
2008,Fiji,68.7,East Asia & Pacific,Upper middle income,1.95,57.3,0.1,0,14.3,81.04656111
2007,Fiji,68.6,East Asia & Pacific,Upper middle income,2.09,56.6,0.1,0,14.2,5.889526221
2006,Fiji,68.5,East Asia & Pacific,Upper middle income,2.06,55.9,0.1,136,14,52.1241634
2005,Fiji,68.3,East Asia & Pacific,Upper middle income,2.02,55.1,0.1,0,13.9,64.39203443
2004,Fiji,68.1,East Asia & Pacific,Upper middle income,1.63,54.2,0.1,37,13.4,43.99452464
2003,Fiji,68,East Asia & Pacific,Upper middle income,1.76,53.2,0.1,305,13.3,253.8196705
2002,Fiji,67.9,East Asia & Pacific,Upper middle income,1.85,52.2,0.1,304,13.3,206.071686
2001,Fiji,67.8,East Asia & Pacific,Upper middle income,1.93,51.2,0.1,17,13.2,20.7119129
2000,Fiji,67.7,East Asia & Pacific,Upper middle income,2.05,5.2,0.1,0,13.1,31.25834616
2004,Finland,78.7,Europe & Central Asia,High income,9.89,57.6,0.1,0,18.3,4508.806185
2003,Finland,78.4,Europe & Central Asia,High income,9.31,57.1,0.1,0,18.1,3869.026302
2002,Finland,78.1,Europe & Central Asia,High income,9.25,56.6,0.1,0,18,3099.357319
2001,Finland,78,Europe & Central Asia,High income,8.94,56.1,0.1,1,17.7,2775.33544
2000,Finland,77.5,Europe & Central Asia,High income,8.59,55.5,0.1,0,17.3,397.7533689
2006,Finland,79.2,Europe & Central Asia,High income,10.15,58.6,0.1,0,17.2,524.7775227
2007,Finland,79.3,Europe & Central Asia,High income,10.45,59,0.1,0,17.2,6147.1323
2005,Finland,78.9,Europe & Central Asia,High income,9.95,58.1,0.1,1,17.1,4816.589613
2008,Finland,79.6,Europe & Central Asia,High income,10.26,59.4,0.1,5,17.1,678.88112
2014,Finland,89,Europe & Central Asia,High income,8.8,61.7,0.1,0,17,6164.455402
2013,Finland,87,Europe & Central Asia,High income,8.97,61.4,0.1,2,17,6115.496624
2012,Finland,84,Europe & Central Asia,High income,9.24,61,0.1,0,17,5889.012536
2009,Finland,79.7,Europe & Central Asia,High income,9.96,59.8,0.1,2,17,579.7384368
2011,Finland,83,Europe & Central Asia,High income,9.81,6.6,0.1,27,16.9,71.01620838
2010,Finland,79.9,Europe & Central Asia,High income,9.72,6.2,0.1,5,16.8,591.6691405
2013,France,82,Europe & Central Asia,High income,11.1,61.6,0.1,272,16.2,6646.953935
2014,France,82.2,Europe & Central Asia,High income,11.5,62,0.1,267,16.2,6739.677606
2012,France,81.5,Europe & Central Asia,High income,11.5,61.1,0.1,0,16.1,751.3793553
2011,France,81.7,Europe & Central Asia,High income,11.8,6.6,0.1,14949,16.1,683.9190568
2008,France,89,Europe & Central Asia,High income,11.9,59.1,0.1,604,16.1,7002.785925
2007,France,89,Europe & Central Asia,High income,12.2,58.6,0.1,39,16.1,64.73714894
2006,France,86,Europe & Central Asia,High income,12.4,58,0.1,40,16.1,5689.991931
2010,France,81.3,Europe & Central Asia,High income,11.7,6.1,0.1,5048,16,72.8001211
2009,France,81.1,Europe & Central Asia,High income,11.8,59.6,0.1,1541,16,6415.35735
2000,France,78.8,Europe & Central Asia,High income,13.63,54.6,0.1,10000,15.7,3410.284431
2001,France,79,Europe & Central Asia,High income,13.89,55.2,0.1,0,15.6,3451.185079
2005,France,81,Europe & Central Asia,High income,12.2,57.5,0.1,36,15.5,5451.701225
2004,France,82,Europe & Central Asia,High income,13.18,57,0.1,4448,15.5,5291.234786
2002,France,79.2,Europe & Central Asia,High income,13.78,55.8,0.1,5185,15.5,3779.655273
2003,France,79.3,Europe & Central Asia,High income,13.49,56.4,0.1,0,15.4,4572.441963
2014,Gabon,65.5,Sub-Saharan Africa,Upper middle income,0.01,35.8,2.8,33,12.6,715.2816939
2012,Gabon,63.5,Sub-Saharan Africa,Upper middle income,8.3,34.6,4.9,2,12.5,805.3925284
2010,Gabon,62.3,Sub-Saharan Africa,Upper middle income,8.85,33.5,7,1,12.5,145.318282
2013,Gabon,64.6,Sub-Saharan Africa,Upper middle income,8.86,35.2,3.7,122,12.5,154.8758879
2011,Gabon,62.8,Sub-Saharan Africa,Upper middle income,8.9,34.1,6,2,12.5,133.5223672
2005,Gabon,65,Sub-Saharan Africa,Upper middle income,7.72,3.8,10.9,0,12.4,353.2438029
2006,Gabon,61.4,Sub-Saharan Africa,Upper middle income,8.01,31.4,10.7,90,12.4,40.53719812
2009,Gabon,61.7,Sub-Saharan Africa,Upper middle income,8.64,33,8,0,12.4,52.31086276
2008,Gabon,61.6,Sub-Saharan Africa,Upper middle income,8.75,32.4,8.9,3,12.4,11.05422474
2007,Gabon,61.6,Sub-Saharan Africa,Upper middle income,9.02,31.9,10,0,12.4,545.4389573
2003,Gabon,59.7,Sub-Saharan Africa,Upper middle income,6.47,29.8,11,0,12.3,352.232365
2004,Gabon,59.7,Sub-Saharan Africa,Upper middle income,8.13,3.3,11.1,63,12.3,443.4750634
2002,Gabon,59.7,Sub-Saharan Africa,Upper middle income,8.34,29.2,10.7,110,12.3,22.69039905
2001,Gabon,59.8,Sub-Saharan Africa,Upper middle income,9.29,28.7,10.1,5129,12.3,183.6980778
2000,Gabon,61,Sub-Saharan Africa,Upper middle income,8.87,28.1,9.5,15,12.2,218.1727473
2014,Gambia,68,Sub-Saharan Africa,Low income,0.01,26.7,1.7,1,8.9,0
2013,Gambia,66,Sub-Saharan Africa,Low income,0.01,26,1.6,0,8.9,0
2009,Gambia,59,Sub-Saharan Africa,Low income,2.99,23.5,2.7,0,8.9,0
2012,Gambia,62,Sub-Saharan Africa,Low income,0.01,25.4,1.4,0,8.8,0
2010,Gambia,59.3,Sub-Saharan Africa,Low income,3.48,24.1,2.1,2,8.8,0
2011,Gambia,59.8,Sub-Saharan Africa,Low income,3.41,24.8,1.8,0,8.7,0
2008,Gambia,58.7,Sub-Saharan Africa,Low income,2.79,22.8,3,0,8.6,0
2007,Gambia,58.5,Sub-Saharan Africa,Low income,2.64,22.2,3.1,0,8.4,0
2006,Gambia,58.2,Sub-Saharan Africa,Low income,2.93,21.5,3,0,8.1,0
2005,Gambia,57.7,Sub-Saharan Africa,Low income,2.26,2.9,3,0,7.8,0
2004,Gambia,57.3,Sub-Saharan Africa,Low income,2.51,2.3,2.9,0,7.6,0
2003,Gambia,57,Sub-Saharan Africa,Low income,2.47,19.7,2.7,119,7.3,0
2002,Gambia,56.6,Sub-Saharan Africa,Low income,2.08,19.1,2.5,32,7,0
2001,Gambia,56.3,Sub-Saharan Africa,Low income,2.25,18.5,2.3,99,6.8,0
2000,Gambia,55.9,Sub-Saharan Africa,Low income,2.18,18,2,336,6.5,0
2013,Georgia,74.5,Europe & Central Asia,Upper middle income,5.91,54.4,0.1,7872,13.5,180.3787034
2014,Georgia,74.5,Europe & Central Asia,Upper middle income,6.13,55.3,0.1,3188,13.5,221.482875
2012,Georgia,74.2,Europe & Central Asia,Upper middle income,7.71,53.6,0.1,31,13.4,158.2576025
2010,Georgia,73.8,Europe & Central Asia,Upper middle income,7.24,52,0.1,22,13.3,194.1732658
2011,Georgia,73.9,Europe & Central Asia,Upper middle income,8.14,52.8,0.1,64,13.3,198.94876
2008,Georgia,73.9,Europe & Central Asia,Upper middle income,7.17,5.5,0.1,56,13.1,151.762567
2009,Georgia,73.2,Europe & Central Asia,Upper middle income,6.66,51.3,0.1,23,12.8,18.5314303
2006,Georgia,73.9,Europe & Central Asia,Upper middle income,6.18,49.2,0.1,334,12.6,110.1138286
2007,Georgia,74.4,Europe & Central Asia,Upper middle income,8.65,49.9,0.1,44,12.5,106.164686
2005,Georgia,73.9,Europe & Central Asia,Upper middle income,4.7,48.6,0.1,1356,12.2,9.444875415
2004,Georgia,72.3,Europe & Central Asia,Upper middle income,3.74,48.1,0.1,6847,12,7.132564768
2002,Georgia,71.7,Europe & Central Asia,Upper middle income,2.72,47,0.1,199,11.8,60.55818291
2003,Georgia,72.7,Europe & Central Asia,Upper middle income,3.36,47.5,0.1,216,11.8,70.54185252
2001,Georgia,73,Europe & Central Asia,Upper middle income,2.76,46.5,0.1,35,11.7,57.10318825
2000,Georgia,71.8,Europe & Central Asia,Upper middle income,3.28,46,0.1,50,11.4,47.81704183
2014,Germany,89,Europe & Central Asia,High income,11.03,61.9,0.1,443,17,941.7562909
2013,Germany,86,Europe & Central Asia,High income,10.94,61.4,0.1,1771,16.9,895.8779503
2012,Germany,86,Europe & Central Asia,High income,11.18,6.9,0.1,166,16.9,839.91332
2011,Germany,85,Europe & Central Asia,High income,11.2,6.4,0.1,1607,16.8,869.790735
2010,Germany,81,Europe & Central Asia,High income,11.2,59.9,0.1,780,16.7,7584.078579
2009,Germany,80,Europe & Central Asia,High income,11.22,59.5,0.1,574,16.7,7641.270645
2008,Germany,79.9,Europe & Central Asia,High income,11.36,59,0.1,917,16.6,8285.264655
2007,Germany,79.8,Europe & Central Asia,High income,11.5,58.5,0.1,567,16.6,7777.556353
2006,Germany,79.6,Europe & Central Asia,High income,11.76,58,0.1,2307,16.5,6407.535954
2005,Germany,79.2,Europe & Central Asia,High income,11.67,57.6,0.1,778,16.4,6012.92584
2004,Germany,79.1,Europe & Central Asia,High income,11.83,57.1,0.1,121,16.4,5842.374765
2003,Germany,78.5,Europe & Central Asia,High income,11.92,56.6,0.1,779,16.3,582.6157028
